id_venta,fecha,cliente,producto,cantidad,importe,medio_pago
V-1001,2026-05-02,Comercial Andrade,Servicio de consultoria,1,18500.00,transferencia
V-1002,2026-05-04,Garcia SA,Notebook Lenovo,2,1234.56,tarjeta
V-1003,2026-05-05,Juan Perez,Resma A4,10,9900.00,efectivo
V-1004,2026-05-08,Marta Gomez,Toner HP,3,24300.00,transferencia
V-1005,2026-05-11,Kiosco El Sol,Golosinas surtidas,50,7500.00,efectivo
V-1006,2026-05-13,Ferreteria Nuñez,Tornillos x100,20,3200.00,tarjeta
V-1007,2026-05-15,Estudio Contable RyR,Servicio mensual,1,45000.00,transferencia
V-1008,2026-05-18,Comercial Andrade,Resma A4,5,4950.00,efectivo
V-1009,2026-05-20,Bar La Esquina,Cafe en grano,8,16000.00,tarjeta
V-1010,2026-05-22,Distribuidora Sur,Aceite x12,4,22800.00,transferencia
V-1011,2026-05-25,Juan Perez,Cuaderno,15,6750.00,efectivo
V-1012,2026-05-27,Panaderia Ortiz,Harina x25kg,6,18600.00,transferencia
V-1013,2026-05-29,Comercial Andrade,Servicio de consultoria,1,18500.00,transferencia
V-1014,2026-05-30,Optica Vision,Armazon,2,31000.00,tarjeta
